Course Number,Title,Description,Instructors,Terms Offered,Equivalent Courses
HIST 17800,Formations of Indigeneity,"Whose land are we on? What does it mean to be Indigenous, for generations past and in the twenty-first century? From debates over claims of Indigenous ancestry by political actors to the struggles of sacred lands protection against natural resource extraction, understanding the stakes of these concerns for Indigenous peoples and nations is more relevant than ever. This seminar-part of the sequence for majors in the Department of Race, Diaspora, and Indigeneity-introduces students to core texts and concepts in the field of Native American and Indigenous Studies (NAIS). Topics will include sovereignty and governance, settler colonialism, citizenship and nationhood, blood quantum and racialization, diasporas and urban indigeneity, and relationships to land and environment. Course activities may include engagement with Indigenous films, dialogues with visiting Indigenous scholars, and field trips to Chicago-area cultural institutions.",Teresa Montoya and Matthew Kruer,Autumn,"RDIN 12300, ANTH 12800, CRES 12800, CHST 12300"
HIST 18405,Histories of Native America,"Modern Americans often think of their history beginning with the European discovery of the ""New World."" But those Europeans did not ""discover"" anything. In the Americas, they encountered an Old World filled with diverse Indigenous peoples, cultures, and polities; a world alive with its own dynamic histories. This courses explores the world of Native North America from the evolution of complex city-states in the centuries before European invasion to the seismic changes that Indigenous peoples have navigated in the era of colonization (1492-present). Topics include Native struggles to create a shared world with settlers in the seventeenth century; movements to maintain independence from European empires and the new United States; nineteenth-century experiences of conquest, removal, confinement to reservations, and coercive assimilation; twentieth-century resurgence, battles in the courts, and ""Red Power"" activism; and twenty-first century struggles for sovereignty, self-determination, and environmental justice. Students will engage with a variety of primary and secondary sources, focusing on texts produced by Native people and centering Native points of view.",M. Kruer,Winter,RDIN 18405
HIST 18702,"Race, Politics, and Sports in the United States","This lecture-discussion course explores how racial identity has been experienced, represented, and contested throughout American history.  We will examine the major historical transformations that have shaped the development and understanding of racial identity, by engaging historical, legal, literary, and filmic texts.  A diverse set of primary sources will be read against historical works.  Moving along both chronological and thematic axes, themes of ambiguous, hidden, and hybrid identity will be critical to investigate the problems of racial mixture, mixed-race identity, racial passing, and racial performance across historical periods.  The interplay of the problems of class and gender in the construction of racial identity will also be explored.",M. Briones,"Winter
Note(s): History in the World courses use history as a valuable tool to help students critically exam our society, culture, and politics. Preference given to 1st- and 2nd-yr students.",RDIN 18702
HIST 18808,Asian American History through the Novel,"This course examines the interwoven histories of migration, language, and identity formation and re-formation in Asian American experience. How are migrant and diasporic identities represented in fictional (or quasi-fictional) terms? How have factors such as race, religion, class, gender, and sexuality shaped everyday Asian American life? Course readings consist primarily of novels, representing a variety of Asian ethnicities and experiences, by writers of Chinese, Filipina/o, Indian, Japanese, Korean, Taiwanese, and Vietnamese descent. These works are supplemented by selected historical documents and short lectures to shed additional light onto the sociohistorical contexts under study.",C. Kubler,,"GNSE 18808, CRES 18808"
HIST 19902,"Workers of the World: Global Labor History, 1600-present","Workers of the world, unite!"" But who are the workers of the world? Why would such a diverse group be considered as one? In this class, we look at the making of the modern world from below, through the perspectives, experiences, and movements of those who worked the plantations, mills, mines, and households where capitalism was forged. How did diverse experiences of free and unfree labor relate to each other? What have been the historical relationships between class, gender, race, and nationality? How have workers' movements related to the great ideological struggles between liberalism, socialism, fascism, and colonialism? We will both study the social history and political economy of work-who did what jobs where, when, under what circumstances?-and the efforts to make common political meaning out of those diverse experiences of work.",G. Winant,Spring,
HIST 20007,Africa in the Middle East and the Middle East in Africa,"From Mansa Musa's Hajj in 1324 to the contemporary Afrobeats scene in Dubai, African and Middle Eastern societies share long histories of interconnection. This course examines these interconnections from the early modern to the contemporary era through a series of case studies ranging from traditions of exchange on the Swahili Coast, to the Ottoman Scramble for Africa, to the creation of a long-standing Lebanese diaspora in West Africa and a more recent Ethiopian Jewish community in Israel. Students will examine debates that animate this field of scholarship including conversations about race; histories of slavery and its legacies; conceptions of indigeneity, nativism, and settler colonialism; religious encounters; gender and society; shared and divergent experiences of European colonialism and struggles for independence; and transnational collective-building projects such as Pan-Africanism and Pan-Arabism. In addition to scholarship based on textual analysis, students will develop skills to investigate cultural sources such as music, photography, film, fashion, literature, and sports. No prior coursework in Middle Eastern or African studies is required. However, a background in African Civ, Islamic History and Society Civ, or Islamic Thought and Literature Civ is recommended.",K. Hickerson,"Spring
Note(s): Assignments: Short papers; long paper; in-class presentation","RDIN 20007, GNSE 20007"
HIST 20008,East Africa and the Indian Ocean,"This course offers an introduction to the long history of East Africa in the Indian Ocean world. Areas of concentration will include trade and cultural interaction with the Middle East, South Asia, and East Asia, new dynamics in the context of European colonization, and East Africa's important place in decolonization and the Non-Aligned Movement. Along the way, we will ask some broad questions about the region. How are societies formed through processes of migration and interaction? What dynamics bind people together as distinct communities, and what factors lead them to break apart? How have ideas about gender and sex changed over time in East Africa? How are all these matters shaped by religion and cosmology? East African lives were shaped by forces external to the continent - but East Africans shaped those forces too. Along the way, we will analyze a wide variety of materials and viewpoints, including ones that are not conventionally used to tell stories about the past. These include archaeology, linguistics, oral traditions, environmental sources, written and archival materials, life histories, and visual and performed art.",Daly Samuel Fury Childs,Autumn,
HIST 20091,Field Archaeology,"This course entails four weeks of full-time, hands-on training in field archaeology in an excavation directed by a University of Chicago faculty member. At the Tell Keisan site in Israel, students will learn techniques of excavation and digital recording of the finds; attend evening lectures; and participate in weekend field trips. Academic requirements include the completion of assigned readings and a final written examination. For more information about this archaeological field opportunity in Summer 2020, see http://keisan.uchicago.edu. Students who are enrolled in this course will pay a Summer Session tuition fee in addition to the cost of participation in the dig. UChicago College students are eligible to apply for College Research Scholar grants to fund their participation.",David Schloen,,"ANTH 26612, NEAA 20091, CLAS 30091, CLCV 20091"
HIST 20205,Race in African History,"This course examines the category of race in African history from the nineteenth century to the contemporary era. It references the legacies of earlier identity constructions in the creation of these categories, as well as analyzing its transnational and trans-imperial dimensions.  
The class combines intellectual, cultural, and social history to illuminate the actors, encounters, and debates animating this dynamic field of study-moving beyond assumptions of African societies as spaces of ethnic-and not racialized-identities to examine the construction of difference through transnational history of science, gender and sexuality studies, histories of slavery, Middle Eastern colonial projects, as well as the invention of the category of ""native"" in European colonial discourse. Are categories of differences primarily due to European colonialism, as many claim? Or are they embedded in a more complex configuration coming from settler colonial projects, national liberation struggles, and postcolonial nativist discourses? 
Students examine case studies from across the continent-from Ghana to Sudan to South Africa-paying close attention to experiences of Asian, Arab, and mixed-race peoples navigating colonial and postcolonial African states; while keeping an eye on how debates about difference, diaspora, and nationalism in North America and Europe inform discussions of race in Africa, and how Africans shape discourses of race in colonial metropoles and the United States.",K. Hickerson,"Winter
Note(s): Students who have not take African Civiliizations I, II, and III are asked to read African History: A Very Short Introduction (Oxford, 2007) in preparation for this course.","CRES 20205, HIPS 20205, GNSE 22225"
HIST 20509,Collecting the Ancient World: Museum Practice and Politics,"Where is this artifact from? Who does it belong to? How did it get here? Who's telling its story? Critical inquiry into the practice and politics of museums has reached a new zenith in contemporary discourse. From discussions of acquisition and repatriation to provenience (archaeological findspot) and provenance (an object's ownership history) and the ethics of curation and modes of display, museum and art professionals-and the general public alike-are deliberating on the concept of museums and the responsibilities of such institutions towards the collections in their care. This course will explore the early history of museums and collecting practices and their impact on the field today, with a focus on cultural heritage collections from West Asia and North Africa. We will first spend time on such topics as archaeological exploration of ""the Orient,"" colonial collecting practices, and the antiquities trade, as well as the politics of representation and reception in the nineteenth and twentieth centuries. Next, we will look at critical issues presently facing museums, including ethical collection stewardship, provenance research, repatriation, community engagement, and public education. The course will be structured in a seminar format, with lectures devoted to the presentation of key themes by the instructor and critical discussion as a group. Meetings will include visits to the ISAC Museum at UChicago.",K. Neumann,Winter,"ARTH 34815, ARTH 24815, NEHC 24815, HIST 30509, NEHC 34815"
HIST 20803,Aristophanes's Athens,"The comedies of Aristophanes are as uproarious, biting, and ribald today as they were more than 2,400 years ago. But they also offer a unique window onto the societal norms, expectations, and concerns as well as the more mundane experiences of Athenians in the fifth century BCE. This course will examine closely a number of Aristophanes' extant plays (in translation) in order to address topics such as the performative, ritual, and political contexts of Attic comedy, the constituency of audiences, the relationship of comedy to satire, the use of dramatic stereotypes, freedom of speech, and the limits of dissent. Please note that this course is rated Mature for adult themes and language.",J. Hall,Winter,"ANCM 33900, LLSO 20803, FNDL 23608, CLCV 23608, CLAS 33608, HIST 30803"
HIST 20902,Empires and Peoples: Ethnicity in Late Antiquity,"Late antiquity witnessed an unprecedented proliferation of peoples in the Mediterranean and the Middle East. Vandals, Arabs, Goths, Huns, Franks, and Iranians, among numerous others, took shape as political communities within the Roman and Iranian empires or along their peripheries. Recent scholarship has undone the traditional image of these groups as previously undocumented communities of ""barbarians"" entering history. Ethnic communities emerge from the literature as political constructions dependent on the very malleability of identities, on specific acts of textual and artistic production, on particular religious traditions, and, not least, on the imperial or postimperial regimes sustaining their claims to sovereignty. The colloquium will debate the origin, nature, and roles of ethno-political identities and communities comparatively across West Asia, from the Western Mediterranean to the Eurasian steppes, on the basis of recent contributions. As a historiographical colloquium, the course will address the contemporary cultural and political concerns-especially nationalism-that have often shaped historical accounts of ethnogenesis in the period as well as bio-historical approaches-such as genetic history-that sometimes sit uneasily with the recent advances of historians.",R. Payne,"Spring
Prerequisite(s): Open to advanced undergraduates and graduate students.","MDVL 20902, NEHC 20802, HIST 30902, NEHC 30802, CLAS 33718, CLCV 23718"
HIST 22003,Perpetration of Mass Violence: Motivations and Dynamics of Participation in the Armenian Genoci,"The systematic destruction of the Armenian population of the Ottoman Empire was planned and executed by a cadre of individuals. Although in recent decades historians have explored the biographies of leading figures in the Committee of Union and Progress and explored their roles in the destruction of the Christian population of the Ottoman Empire, there is little systematic research on the motivations of and interactions among perpetrators. Furthermore, most active participants in the genocide on the local level are little known today. In this course, we will explore motivations of perpetrators and different forms of perpetration of violence during the Armenian genocide in a comparative perspective. We will investigate the lives and legacies of genocide perpetrators as well as their post-genocide careers who actively participated in the annihilation of Armenians and plunder of their wealth and cultural heritage. Our aim is to reconstruct the background, motivations, and actions of the perpetrators at the national, local and provincial levels, a largely understudied dimension of Armenian genocide history. Through social network analysis and micro-historical portraits, this course aims to shed light on the political and socio-economic factors that reinforced the foundations of a genocide in the making and demonstrate how the policies of Ottoman central authorities found fertile ground in provinces and districts across the empire.",Umit Kurt,Spring,"NEHC 30676, HIST 32003, NEHC 20676"
HIST 22110,Renaissance Demonology,"In this course we analyze the complex concept of demonology according to early modern European culture from a theological, historical, philosophical, and literary point of view. The term 'demon' in the Renaissance encompasses a vast variety of meanings. Demons are hybrids. They are both the Christian devils, but also synonyms for classical deities, and Neo-platonic spiritual beings. As far as Christian theology is concerned, we read selections from Augustine's and Thomas Aquinas's treatises, some complex exorcisms written in Italy, and a recent translation of the infamous ""Malleus maleficarum,"" the most important treatise on witch-hunt. We pay close attention to the historical evolution of the so-called witch-craze in Europe through a selection of the best secondary literature on this subject, with special emphasis on Michel de Certeau's ""The Possession at Loudun."" We also study how major Italian and Spanish women mystics, such as Maria Maddalena de' Pazzi and Teresa of Avila, approach the issue of demonic temptation and possession. As far as Renaissance Neoplatonic philosophy is concerned, we read selections from Marsilio Ficino's ""Platonic Theology"" and Girolamo Cardano's mesmerizing autobiography. We also investigate the connection between demonology and melancholy through a close reading of the initial section of Robert Burton's ""Anatomy of Melancholy"" and Cervantes's short story ""The Glass Graduate"" (""El licenciado Vidriera"").","A. Maggi
Note(s): Course taught in English. Course not offered in 24-25.",,"CMLT 27602, GNSE 26504, ITAL 26500, RLST 26501"
HIST 22207,The Social History of Alcohol in Early Modern Europe,"This course will examine the multifaceted role that beer, wine, cider, and spirits played in European society and will challenge students to consider how a seemingly familiar commodity was a key component in shaping early modern social relations. It will focus on several major themes that have guided historical inquiry and show how hard drink intersects with and entangles these histories. Major themes will include alcohol and gender relations; state legality and taxation; moral policing; environmental projects and crises; labor and technology; and colonialism. Using both primary and secondary sources will push students to look below the surface to see how drink alternately challenged or reinforced social hierarchies, much as it continues to do in the present time.",C. Rydell,,"HLTH 22207, HIPS 22207"
HIST 22211,Magic in Early Modern Europe,"Magic was a constant element in early modern European culture. Almost all people in this period, from peasant to prince, accepted it as a real and powerful presence in their lives. They respected its credibility and practices in general, even if they might question particular claims. In this course we address why it was so ubiquitous, what it involved, and why, in the end, it seemed to decline. The course will introduce students to the major arguments that historians in this field have advanced, and provide critical perspectives on the interpretation of the range of practices falling under the term ""magic,"" from witchcraft and necromancy to alchemy. Among the topics likely to be discussed are demonology, natural magic, astrology, the witch craze, the roles of memory, orality, and literacy in sustaining and qualifying magical cultures, and the relationships between magic, medicine, and science.",A. Johns,"Spring
Note(s): Assignments: short papers, long papers, in-class presentations, alternative projects.","HIST 32211, CHSS 32211, HIPS 22211"
HIST 22402,Anglo-Saxon England,"The kingdom seized by William the Conqueror in A.D. 1066 had been centuries in the making. Founded by pagan warlords following the retreat of the Roman legions, the kingdoms of the Anglo-Saxons were already old when missionaries arrived from Rome in A.D. 597, bearing icons and Gospel books. What happened when their kings converted to Christianity? How did their language, law, politics, culture, society, and economy change? What roles did monks, warriors, women, merchants, and poets have in crafting a kingdom so richly endowed that William coveted it as his prize? This course charts the making of Anglo-Saxon England through close readings of primary sources, including histories, epic poems, liturgies, and laws, alongside archeological surveys and works of art. Special attention will be given to the links that the Anglo-Saxons cultivated both with Rome and cultures even further south and east.",R. Fulton Brown,Spring,HIST 32402
HIST 22509,"Religion and Politics in Modern European History, 1789-1965","The general theme of the colloquium is the relationship between religion and civil society in Central Europe, the United Kingdom, and France between 1740 and the end of World War II.  We will use this broad theme to explore a variety of important issues in modern European history, including the history of the relationship of the church and state; the contribution of religious consciousness and culture to the construction of class, gender, and national identities; and the role played by religious movements in the creation of a liberal, adversarial political system and the formation of a bourgeois public sphere.  Special topics will include the role of religious disputes in the formation of administrative reform agendas in the Eighteenth Century, the shifting patterns of religious practice that developed in the Nineteenth Century; the role of religiously-based political movements in the crisis of the Liberal state in the late Nineteenth and early Twentieth Centuries; the ambivalent relationship of the churches to National Socialism and the Vichy regime; the role of organized religion in the reconstruction and transformation of the European state system at the conclusion of World War II; and patterns of religious renewal in Europe in the 1960s.",J. Boyer,Spring,HIST 32509
HIST 22510,Get Cultured in Nine Weeks: Historical Perspectives on Art and Education,"Get Cultured in Nine Weeks: Historical Perspectives on Art and Education: What does it mean to 'get cultured'? Why-and how-do we do it? Does an education in the arts and letters make us more moral, more intelligent, more resistant to authority-or perhaps more submissive? These questions are at the center of debates about the place of cultural learning in the contemporary world, but our century was not the first to think critically about the social and political functions of this form of education. This course investigates how students, educators, writers, and artists conceptualized the aims and means of becoming cultured from the 1700s forward, focusing on European history and connecting it to the concerns of the present. We will pay particularly close attention to both formal and informal means of cultural education, and to the ways in which these practices have been understood to produce social structures of class, gender, and race. Readings will draw from the fields of history, literature, philosophy, sociology, and art history. At the end of the quarter, students will be asked to design their own fantasy syllabus for ""getting cultured in nine weeks.""",Sophie Salvo and Alice Goff,Spring,"GRMN 36225, HIST 32510, GRMN 26225"
HIST 23006,"Looting, Plunder, and the Making of Modern Europe","At the end of the eighteenth century Europeans recognized the seizure of enemy property to be a time-honored practice of warfare and subjugation. At the same time, however, new ideas about human rights, cultural heritage, and international law began to reshape the place of looting in the exercise of power. This course will take up the history of looting in European cultural and political life from the late eighteenth through the twentieth centuries as a tool of nationalism, imperialism, totalitarianism, and scholarship. How was looting defined, who defined it, and what kinds of ethical and legal codes governed its use? How was the seizure of personal property, cultural artifacts, and sacred objects legitimized by its practitioners and experienced by its victims? In what ways did looting change the meaning of objects and why? How do we understand looting in relationship to other forms of violence and destruction in the modern period? While the focus of the course will be on Europe, we will necessarily be concerned with a global frame as we follow cases of looting in colonial contexts, through migration, exploration, and during war. Course materials will including primary texts, images, objects, and historical accounts.",A. Goff,"Winter
Note(s): Assignments: one short paper, one long paper, short alternative assignments, and an in-class presentation.",HIST 33006
HIST 23210,Urban Core in Paris,"This course is both an introduction to how historians think about cities and a history of cities from the Middle Ages through the Cold War. Most of the examples are drawn from Europe, with a special focus for the version of the course taught in Paris on that city, but significant attention is given to Africa and the United States. The course is chronological in organization, but each class also focuses on a different theme, such as the place of politics, industrial development, migration, culture, and commerce in the transformation of urban forms and experiences.",L. Auslander,"Autumn
Prerequisite(s): Admission to the Paris: Social Sciences Urbanism program","ARCH 23210, RDIN 23210, ENST 23210"
HIST 23523,"History of the Jewish Present in the US, France, and Israel and Palestine","The contemporary Jewish situation in Israel and Palestine, the US, and France as seen through historical, sociological, anthropological, political science, and cultural religious studies lenses. Central concerns include politics, society, conflict, and Jewish-Palestinian entanglements and mutual formation in Israel and Palestine; space, place, power, poverty, and wealth in contemporary Jewish life; questions of community-society relations in American and French societies riven by questions of race and racism and intercommunal tensions as well as enduring questions of democracy and inequality; divergent Jewish identities and the ideas, histories, and affects that shape them with special attention to mizrahiut; Jewish religious revival with particular attention to various forms of Orthodox, pietistic, mystical, and illiberal religiosity on the one hand and the impacts of feminism and other liberation movements on the other; Jewish culture and literature in Israel and the diaspora in a post-secular age; rising disagreements over Zionism, identity, politics, and the Jewish future roiling Jewish communities.",K. Moss,Spring,"JWSC 23523, HIST 33523"
HIST 23615,Post-Soviet Ukraine,"This course focuses on the cultural life of Ukraine after the Soviet collapse. In a guided process, students will co-facilitate this syllabus, deciding on topics and readings in (translated) Ukrainian literature and film as well as the history of Ukraine. Possible topics include: memory of Soviet wars, the capitalist transition, Chornobyl, artistic movements, subcultures, the Maidan Revolution, Russia's war, language politics, ethnicities, and gender relations. Reading options include Andryukhovich, Zabuzhko, Plokhy, Zhadan. No prior knowledge required.",Ania Aizman,Spring,"HIST 33615, REES 26070, REES 36073"
HIST 23706,The Soviet Union,"This lecture course surveys the making and unmaking of the Soviet Union as a society, culture, economy, superpower, and empire from 1917 to 1991. The Soviet Union began as an unprecedented radical experiment in remaking society and economy, ethnic and gender relations, personal identities, even human nature, but in the course of its history, it came to resemble other (capitalist) societies, sharing, in turn, their violence, welfare provisions, and consumerism. The story of this transformation-from being unique and exhilarating to being much like everyone else, only poorer and more drab-will be at the center of our exploration. The main themes of the course include social and cultural revolutions; ideology and the role of Marxism; political violence from the birth of the socialist state to the end of the Stalin terror; origins, practices, aesthetics, legacies, and critiques of Stalinism; law, dissent, and human rights; nationality policies and the role of ethnic minorities; the economy of shortages and the material culture it created; institutions of daily life (communal apartments, courtyards, peasant markets, dachas, and boiler rooms); socialist realism and the Soviet dreamworld.",E. Gilburd,"Spring
Note(s): Assignments: weekly readings, document-based papers, and a final exam.",REES 23706
HIST 24008,(Re)Branding the Balkan City: Comtemp,"The freedom to make and remake our cities (and ourselves) is one of the most precious yet most neglected of the human rights,"" argues David Harvey. In this course, we use an urban studies lens to explore the complex history, social fabric, architecture, infrastructure, and cultural transformation of the former Yugoslav capitals. Since their inception, these cities have relied on multifaceted exchanges of peoples and political projects, forms of knowledge, financial and cultural capital, means of production, and innovative ideas. Among others, these exchanges produced two phenomena, Yugoslav architecture, embodying one of the great political experiments of the modern era, and the Non-Aligned Movement, as explored in recent documentary films (Turajlić 2023), museum exhibits (MoMA 2018, ""Toward a Concrete Utopia: Architecture in Yugoslavia 1948-1980""), and monographs (Tito in Africa: Picturing Solidarity). Drawing on anthropological theory and ethnography of the city, we consider processes of urban destruction and renewal, practices of branding spaces and identities, metropolitan citizenship, arts and design, architectural histories and styles, and the broader politics of space. The course is complemented by cultural and historical media, guest speakers, and virtual tours. Classes are conducted in English.",Nada Petkovic,Spring,"ARTH 31333, BCSN 21300, GLST 21301, REES 31303, ARCH 21300, ARTH 21333, BCSN 31303, REES 21300"
HIST 24122,"Buddhist Meditation: Tradition, Transformation, Modernization","From the Satipaṭṭhāna sutta of the Pāli canon to the ""mindfulness"" boom of recent years, Buddhism and meditation often appear inseparable. The aim of this seminar is to historicize and critically question this seemingly natural intimacy, for while it certainly cannot be denied that the various Buddhist traditions have always had on offer a plethora of techniques for mental (and physical) cultivation, it is far from clear how or even if all these could be subsumed under the in its current usage relatively recent category of ""meditation"". Drawing on Buddhist meditation literature from various traditions, historical periods, and literary genre, in this seminar we will take up a twofold question: First, how has the encounter with Buddhist techniques of cultivation shaped the modern understanding of ""meditation"", and second, up to which extend, and at what cost, has this very modern understanding conversely conditioned us to see Buddhism as a ""meditative religion"" par excellence?",Stephan Licha,"Spring
Note(s): This course meets the HS Committee distribution requirement for Divinity students.","SALC 24600, EALC 24609, SALC 34600, RLST 24600, HREL 34600, HIST 34122, EALC 34600"
